"filename", "language", "JSON", "HTML", "Dart", "Markdown", "YAML", "C++", "XML", "Swift", "JavaScript", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\linkedToScreen.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\linksScreen.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 66
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\loginScreen.dart", "Dart", 0, 0, 784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 793
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\messagesTab.dart", "Dart", 0, 0, 668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 685
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\notificationScreen.dart", "Dart", 0, 0, 565, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 588
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\notificationSettingsScreen.dart", "Dart", 0, 0, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 312
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\otherProfileScreen.dart", "Dart", 0, 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 432
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\pickUsernameScreen.dart", "Dart", 0, 0, 352, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 363
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\postLikesNotifScreen.dart", "Dart", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 183
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\postScreen.dart", "Dart", 0, 0, 528, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 552
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\privacyPolicyScreen.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\scanner.dart", "Dart", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 160
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\searchScreen.dart", "Dart", 0, 0, 403, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 420
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\settingsScreen.dart", "Dart", 0, 0, 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 313
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\splashScreen.dart", "Dart", 0, 0, 599, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 610
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\termScreen.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\themeScreen.dart", "Dart", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 141
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\topicPostsScreen.dart", "Dart", 0, 0, 567, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 583
"c:\Users\User\Desktop\receive\linkspeak\lib\theme_preference.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\adWidgetCarousel.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\adaptiveText.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\addComment.dart", "Dart", 0, 0, 537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 557
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\addReply.dart", "Dart", 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 309
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\addTopic.dart", "Dart", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 219
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\ads.dart", "Dart", 0, 0, 274, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 292
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\appBar.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\appBarIcon.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\backOnlineSnack.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\blockSnack.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\bottomNavBar.dart", "Dart", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 141
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chatButton.dart", "Dart", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chatMenu.dart", "Dart", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 179
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chatMessages.dart", "Dart", 0, 0, 928, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 962
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chatProfileImage.dart", "Dart", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 117
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\comment.dart", "Dart", 0, 0, 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 436
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\commentPreview.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 75
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\commentsView.dart", "Dart", 0, 0, 679, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 696
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\deleteProfileButton.dart", "Dart", 0, 0, 771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 787
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\deleteSnack.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\descriptionPreview.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 104
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fasterButton.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\favSnack.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\findPostFAB.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost.dart", "Dart", 0, 0, 446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 455
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPostCarousel.dart", "Dart", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 92
