"filename", "language", "YAML", "Dart", "Swift", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\additionalDetails.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\clubsTab.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\commentHistoryScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\commentLikesScreen.dart", "Dart", 0, -4, 0, 0, 0, 0, 0, -4
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\commentRepliesNotifScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\commentRepliesScreen.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\customIconScreen.dart", "Dart", 0, -21, 0, 0, 0, 0, 0, -21
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\customLocationScreen.dart", "Dart", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\editProfile.dart", "Dart", 0, 27, 0, 0, 0, 0, 5, 32
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\favClubPosts.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\favUserPosts.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\favoritePostsScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\feedScreen.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\feedbackScreen.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\finishSetup.dart", "Dart", 0, -3, 0, 0, 0, 0, 0, -3
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\flareCommentHistoryScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\flareReplyHistoryScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\helpScreen.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\likedClubPosts.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\likedPostScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\likedUserPosts.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\linkModeScreen.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\linkRequestsScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\linkedToScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\linksScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\loginScreen.dart", "Dart", 0, 6, 0, 0, 0, -35, 1, -28
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\mentionsScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\messagesTab.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\myJoinedClubScreen.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\noteScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\notificationScreen.dart", "Dart", 0, -10, 0, 0, 0, 0, 0, -10
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\notificationSettingsScreen.dart", "Dart", 0, -34, 0, 0, 0, 0, 0, -34
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\otherJoinedClubScreen.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\otherProfileScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\pickAddressScreen.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\placePostsScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\postCommentHistoryScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\postCommentReplyHistoryScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\postLikesNotifScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\postScreen.dart", "Dart", 0, -4, 0, 0, 0, 0, 0, -4
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\privacyPolicyScreen.dart", "Dart", 0, -3, 0, 0, 0, 0, 0, -3
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\replyHistoryScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\replyLikesScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\scanner.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\searchScreen.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\settingsScreen.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\splashScreen.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\termScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
