"filename", "language", "C++", "YAML", "Markdown", "JSON", "Dart", "CSS", "Swift", "XML", "HTML", "JavaScript", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\userDailyScreen.dart", "Dart", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 108
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\All Posts\allPostsTab.dart", "Dart", 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 246
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Archives\archiveFindButton.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Archives\archiveWidget.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Finders\findFAB.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Finders\findField.dart", "Dart", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 60
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Generals\generalTab.dart", "Dart", 0, 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 278
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Generals\generalTabBar.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Generals\generalTabs.dart", "Dart", 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 156
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Generals\generalWidget.dart", "Dart", 0, 0, 0, 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 276
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Misc\adminFAB.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Misc\banDialog.dart", "Dart", 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 246
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Misc\docDetailsDialog.dart", "Dart", 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 132
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Misc\navigationTile.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Misc\prohibitDialog.dart", "Dart", 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 235
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Profanity\profanityWidget.dart", "Dart", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 170
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\adminItem.dart", "Dart", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 265
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\adminsScreen.dart", "Dart", 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 269
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\assignAdminScreen.dart", "Dart", 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 269
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\banItem.dart", "Dart", 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 294
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\banMemberScreen.dart", "Dart", 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 268
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubAboutTab.dart", "Dart", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 93
